date,amount
2025-04-07,3576.8
2025-04-10,101438.39
2025-05-05,111563.06
2025-06-01,109508.3
2025-06-11,65008.08
2025-06-23,36810.21
2025-07-02,25912
2025-07-28,68084.14
2025-08-06,23290.52
2025-08-13,29829.03
2025-08-19,32257.39
2025-08-26,24309.09
2025-09-02,12405.56
2025-09-08,33526.79
2025-09-15,39322.7
2025-09-22,45321.96
2025-10-01,28793.24
2025-10-14,55344.43
2025-10-27,39219.86
2025-11-11,44232.9
2025-11-23,58139.2
2025-12-02,27361.81
2025-12-10,44095.8
2025-12-17,46287.22
2025-12-23,47696.83
2026-01-05,50960.65
2026-01-12,87705.39
2026-01-22,34260.27
2026-02-01,30349.66
2026-02-09,28182.49
2026-02-16,19626.03
2026-02-16,32000
2026-03-08,21849.35
2026-03-11,27519.88
2026-03-11,32000
2026-04-16,59682.58
2026-04-17,32000
2026-04-30,35965.54
2026-05-12,30693.6
2026-06-01,65691.43
