name_ar,barcode,avg_price
برنفونل مرر100 مل,2099840001238,1337.5
فستق امريكى,2301623000001,1136.62
كاجو محمص,2301626000008,1098.01
بندق محمص,2301624000000,1097.79
كاجو نى وزن,2302445000002,855.13
لوز نى وزن,2302245000004,853.5
لوز محمص,2301625000009,843.19
عين جمل امريكى,2301627000007,711.63
جوز هند وزن,2302202000009,550.0
لب ابيض قرع,2301675000004,480.0
لب ابيض مصرى,2301674000005,463.19
لب سوبر وزن,2301696000007,388.63
اليت شيكولاته اصابع وزن,2302204000007,383.38
زبيب ايرانى وزن,2302201000000,370.0
جيلى ساور زون,2301718000008,364.84
ريب سوس وزن,2302010000000,360.0
فشار جورميه اطعم,2301862000008,338.16
ذره محمصه اسبانى,2301618000009,323.15
تيكا مارشيملو وزن,2301631000000,306.19
باولو سودانى شيكولاته وزن,2301826000006,305.06
جيلى توت وزن,2302011000009,300.0
جامى جيلى كاندى وزن,2301608000002,282.45
جامى بسكوت ويفر وزن,2301815000000,278.46
كرسبى روك وزن,2301998000002,272.19
مقرمشات صينى وزن,2301680000006,266.02
سودانى شيكولاته,2301676000003,259.74
ويفر مغطى شيكولاته,2301813000002,253.2
كابوكى فلسطينى وزن,2301695000008,237.21
كونو بسكويت شيكولاته وزن,2301861000009,232.99
جامى شوكوبون وزن,2301611000006,230.98
جامى ملبس روك وزن,2301610000007,229.07
فول اسوانى,2301669000003,222.53
ويفر رول طعوم,2301814000001,220.0
لب مقشر,2301667000005,219.61
جامى طوفى اكلير وزن,2301607000003,216.07
جامى جيلى طوفى وزن,2302008000005,206.41
كناكر وزن,2301673000006,202.92
الشنوانى نوجا وزن,2302203000008,197.9
بريتزل شيكولاته,2301664000008,194.33
بونبون وزن,2301632000009,185.73
ستيكس اطعمه,2301705000004,164.13
جامى طوفى فواكه وزن,2301606000004,156.15
لب سورى,2301668000004,155.63
اهلا بالعيد حلوى مشكله,6223000301623,125.0
كونو مقرمشات وزن,2301617000000,121.43
بريتزل ملح,2301619000008,118.91
بريتزل جبنه,2301620000004,113.42
بريتزل كاتشب,2301621000003,110.57
بريتزل باربكيو,2301622000002,100.0
ماسك ص,2099840000019,50.0
نظاره بشنب,2099840000026,25.0
باولو سودانى بالكراميل مغطى شيكولاته,6223004912016,7.0
جامى بسكوت ويفر,6223004961700,5.03
جامى بسكوت ويفر,6223004913921,5.01
جامى بسكوت ويفر,6223004913914,5.0
جامى بسكوت ويفر,6223004914126,5.0
الشنوانى نوجا قطعه,6223000301555,5.0
تيكا مارشملو ضفيرة,6223006533776,2.92
حلوه فكه,2099840001214,1.52
