date,total
2024-10-30,4359.76
2024-10-31,5941.27
2024-11-01,5677.72
2024-11-02,4149.04
2024-11-03,4426.21
2024-11-04,2987.55
2024-11-05,3727.87
2024-11-06,4222.14
2024-11-07,1735.66
2024-11-08,2046.05
2024-11-09,3750.82
2024-11-10,2547.63
2024-11-11,3760.5
2024-11-12,2864.35
2024-11-13,2041.67
2024-11-14,2359.05
2024-11-15,1653.15
2024-11-16,856.14
2024-11-17,1541.53
2024-11-18,2881.83
2024-11-19,2905.82
2024-11-20,2449.21
2024-11-21,2892.04
2024-11-22,1872.52
2024-11-23,2257.95
2024-11-24,2903.07
2024-11-25,3408.08
2024-11-26,3336.88
2024-11-27,2739.97
2024-11-28,3389.48
2024-11-29,2598.31
2024-11-30,3586.09
2024-12-01,3948.15
2024-12-02,5180.89
2024-12-03,3403.17
2024-12-04,2933.09
2024-12-05,3710.08
2024-12-06,2863.74
2024-12-07,4595.08
2024-12-08,4133.89
2024-12-09,4185.46
2024-12-10,4160.82
2024-12-11,4289.06
2024-12-12,5149.12
2024-12-13,3187.33
2024-12-14,2984.21
2024-12-15,3985.17
2024-12-16,2763.53
2024-12-17,3729.2
2024-12-18,3651.87
2024-12-19,4590.28
2024-12-20,2613.23
2024-12-21,3777.5
2024-12-22,3729.5
2024-12-23,3921.78
2024-12-24,5219.06
2024-12-25,4537.94
2024-12-26,4822.91
2024-12-27,3530.25
2024-12-28,4407.15
2024-12-29,4213.48
2024-12-30,4702.5
2024-12-31,9996.81
2025-01-01,4755.25
2025-01-02,4662.39
2025-01-03,3673.82
2025-01-04,2040.19
2025-01-05,4319.98
2025-01-06,3919.66
2025-01-07,4643.07
2025-01-08,4380.29
2025-01-09,5344.53
2025-01-10,3525.08
2025-01-11,3426.45
2025-01-12,2942.82
2025-01-13,4291.28
2025-01-14,4003.32
2025-01-15,5138.38
2025-01-16,6057.76
2025-01-17,3548.12
2025-01-18,2963.63
2025-01-19,4003.54
2025-01-20,5704.16
